si,A,B,C_10,C_11,C_12,C_13,C_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_29_30_31_32_33,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,E,F,G,H_551,H_552,I_60,I_61,I_62,I_63,I_64,J,K_70,K_71,K_72,K_73,K_74,K_99,L,M,N,O,P,Q,CONS
A,86140643.2363236,7763.785157718668,0.0,31913.347623271457,0.0,32703.764862963588,36304.61861952395,20931659.61415473,4667.785279268221,246846.61803685094,23260.90848352961,32300.825961014732,29328.712906288696,29214.142808996185,8764.189169668121,241.3431121423093,21743460.462760616,1546729.4450726388,57730.545686771075,266590.2532694141,87834.4900344691,511670.0816870678,0.913307020306871,78.3877267277866,41495.717767954535,48020.73410166169,6436.002846162549,250141.42538979917,72770.56796750141,1481939.4475590636,5360.712193840018,335136.1405951127,124574.2832478436,0.0,198.70438597242165,21245.711183830244,77312.60986352629,1418.1792344452185,18940.723381302756,326234.91510119685,863.5268924485731,0.0,0.0,7081.312974485273,1658.2620967069531,42550.068880050916,2838754.8773106635,3170.218830982563,42692.55789264377,3196.7510202474436,250019.96963193934,216889.2120487155,6.617343480787053,0.0,30316674.76821414
B,27692.840665327643,9979276.553257346,0.0,105741.30600283797,0.0,21665.734600938013,23976.08169738617,2731703.871919788,125.18079119260476,18177.020096935128,53.898318000499984,1609.9919636966588,1835.2910635375595,480194.82011912845,3831.2287573463395,155.02839452281054,129771.8674527994,71439.58238459035,27802.956304825653,109877.27107648567,79787.8015835445,350194.2536447832,0.3646268564314324,274.1728054728545,48065.82793759331,4877.0660134118925,14288.234984395127,321075.65309768845,53855.299480959424,2418.1230437540053,844.9902995455116,114032.70000833721,141381.66320608623,0.0,761.195539734679,302.4734262072577,3954.906280444344,11674.581120812145,451.2181465916627,821315.6179650666,1154.7148352976017,0.0,0.0,32814.90984346472,1516.6026782827048,2952.8889231814987,1145022.608604098,497.8025765598544,14408.442734045977,141.4870541982872,558.2766395372406,1183.6082169316549,2.2662308527048774e-07,0.0,1047221.939816206
C_10,0.1790221847210548,0.0,1301823.5507908699,2.338340528854369e-17,0.0,179.08144565231296,31.56793495728217,2.2045683457976795,0.0,2.774493673404157e-21,0.0,1.308547597832088e-32,0.0,2.0643447932587293e-20,0.0,0.0,0.04548863396005889,66.24908855501747,1.8651020320406177e-11,5.248692133978724e-12,4.2711361231328725e-08,0.9350637960438434,0.0,0.0,2.4876275970484646e-19,0.0,0.0,1.729954932679627e-08,0.0,0.0,4.5668374000172087e-20,1352342.6788175849,224.33685926308078,0.0,0.0,0.0,1400954.8003915476,0.0,0.0,88.60176517295831,0.0709179430782736,0.0,0.0,14.031950092181214,0.0,0.0,281.0058038225244,6.77183295969602,0.0,0.0,0.0,1.8836552478378693e-29,0.0,0.0,2894.438258559523
C_11,1121001.7577624933,349461.36542103655,4.379126566956552e-17,301589865.0506336,0.0,4605347.050118897,1079402.256033691,24681817.31510569,757.3748624858395,1152838.7620503735,8226.45251724164,139706.27858836573,136014.99074598472,1563919.1779472863,473439.0435008965,240031868.19417182,117461791.04806532,5291141.777200208,11680210.72598259,1196515.4291326054,4152674.714218293,6003184.848969673,189.14034100379,5870.989581431724,1973170.8320599145,535931.864821085,423364.79806147167,5179041.091481397,173640.32959577322,745203.3524018525,10940.729570141215,65643302.254737936,5268588.228687494,0.0,8408.519541739744,1674.11778346688,281813.41469722416,104272.04062842776,27435.654313434545,1613333.6565522836,416652.7344553554,0.0,0.0,3859717.641361397,855431.4268437213,278000.8958571939,151911852.4366605,338796.1535920207,277506.5205417329,16298.715385500598,103722.59162217756,878546.4265663672,4.734767503334922e-05,0.0,194806716.33918205
C_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_13,27476.97526531735,41755.444742496526,1616.1446439820966,2180529.8540386455,0.0,89356079.83068804,2712503.697318903,280757.2827338987,332.805425814306,79847.42489788121,90654.7177897252,6273.838907769235,6248.826290518033,84139.26659156504,12282.4477580192,8657.295410032084,356779.2253899923,823699.4789393586,199331.22819202146,6320211.940171547,369890.1649521036,5028191.050111521,0.19313754221814555,307.0246931535491,221415.31805751703,35742.811792757246,17036.640660073244,8603649.325892655,15460.958511149405,20260.378097124416,4142.850320974803,2195905.746144631,1244415.5649263707,0.0,85.24879850348877,133.28807376260212,16038.381357738574,8940.288263366172,113.53978359477561,1512870.3338912562,28664.169441741495,0.0,0.0,113246.20257956511,6277.368297481875,5832.973279191395,7193140.156729259,27659.9943489787,123747.99072352551,1920.4755153070068,2898.7354140123334,4671.160343807746,0.00011821273044014008,0.0,10328370.070547586
C_14,145550.10091654604,8760.485683844661,8940.973617601414,162399.8581661339,0.0233346380436396,342126.70827323635,36245944.89013937,621005.853216351,118.24995811300201,12322.831939947024,37.11904347375459,151.41828590580158,2417.3770588315,20316.018433929363,4034.291981021332,294.61450880266466,679548.9221150385,32527.321183678287,9608755.49746868,20218.027568135225,112937.88723551265,197505.53713842726,0.0054080528180005735,0.5172205673597022,8564.11388956075,385.6341982914316,573.2682817903498,103288.7357415929,12386.006890616905,1697.5131669198292,8267.596542142313,75442.14460198818,1931154.1492074842,0.0,0.8508655253625921,7.763809575951544e-07,159766.35332355415,1680.7382063912964,22256.405065888473,664330.0914099239,169.7637334428437,0.0,0.0,28473.189155924778,156.12351209316006,1532.93732834486,1720982.7474662177,140425.5002104442,3482.53395070798,4260.925100258124,603.5222428637303,1548.4204550240831,4.3850810955401113e-13,0.0,1105996.005556391
D_15,58072099.445239805,2795507.5832435195,1.779638118856304e-15,4968100.449631205,0.004312867452402313,1503191.3536319893,656218.9202184821,2037569297.7962456,159976.5174984248,29142729.917470414,385886.53527466126,605675.9723192023,1341241.7034760688,12050820.284935446,870397.4445031186,659337.9448871326,198171692.3180116,9527517.659054648,2988234.727360902,853061.5779204329,2240890.5701764678,6523318.03755924,1451.7474029529958,312387.8803878927,855094.1411857294,328727.96607605263,253071.6553057323,3721718.6823305157,161243.98471140745,3742384.921688071,67576.70191041127,3022129.865850883,4207095.394874534,0.0,367762.35391763394,15082824.067271374,150300.31970246712,68163.47970104273,4068.3400380539,3581864.3285535914,258147.0334509557,0.0,0.0,693620.6965897531,293649.142870788,278188.35423049,7678216.195286661,76725.6996238864,265587.9909139256,24852.369557187234,176173.77375609978,691820.9151740483,3.781721155555062e-06,0.0,360631561.554663
D_16,15070.711641892722,580.3914326810691,0.0,4978.236420852327,0.0,2429.2218803444707,560.3994880724237,786661.0399981647,106260100.44275945,17335.39650012487,2521.733500910094,164.29106267897083,1489.8355352854833,194143.69244339885,22633.48922658103,30.817685270731413,2731940.986097349,494570.6052479458,29337.20710063882,37060.68387201132,19999.166765258084,48860.3507452128,0.008184679748011806,573.9725964557678,15138.164668453,26919.530297005553,1195.2607191391853,80967.91169718541,313.82851657834203,339078.1297141236,2658.9252286043525,7476.930106817573,3393.0480267987077,0.0,6.331362126070399,90.83774114659258,814.1800924683095,1004.2580871707688,102.7712914122598,4421.144861610312,2489.094473394254,0.0,0.0,1028.5785024573681,554.4759271976052,989.1155498281505,2670236.880618006,2.0048671119703196,871.6058435367225,118.04395054583118,112.37974923490745,4899.309202539535,0.0023930129173338004,0.0,947967.6763272306
D_17,1160622.5818829988,666932.4557090146,312.48839811080245,153678.7456074411,0.0012056875360794,43869.91490649624,500769.1824581872,667098.3821528757,87340.48921705676,466365950.9277808,7894813.4292474175,957150.5167956557,134467.21957711744,15213569.85955731,279858.4754964265,9052.0279355987,4596596.538244688,10046901.450734792,233797.20820936008,241384.4192797759,1403986.8081231727,902306.8206284943,19.090337657466158,3639.0500655005553,803688.663996446,53850.74423083884,143566.83738140686,1748495.3337153655,39007.835322735526,2067418.623052342,1629293.312440452,165540.69982870287,604335.7046200524,0.0,397.90271569129646,10574.361924090308,222193.29713187437,20940.465292888,35095.8927131751,139724.27431551856,133941.47333385394,0.0,0.0,93576.11689965642,10147.028304478883,136128.67598946524,5373341.919147253,232.59174327327463,23775.5320679576,5134.216470117311,244321.14746574438,134499.43425231226,997.8159434332742,0.0,128809306.52614924
